City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Salinopolis,BR,77.67,overcast clouds,-0.6136,-47.3561,
1,Canutama,BR,72.79,overcast clouds,-6.5339,-64.3831,
2,Keffi,NG,71.6,clear sky,8.8486,7.8736,
3,Camana,PE,70.7,overcast clouds,-16.6228,-72.7111,
6,Avarua,CK,80.65,few clouds,-21.2078,-159.775,
11,Sinnamary,GF,76.87,overcast clouds,5.3833,-52.95,
13,Esperance,AU,76.84,few clouds,-33.8667,121.9,
15,Bengkulu,ID,81.64,moderate rain,-3.8004,102.2655,
16,Andros Town,BS,71.56,clear sky,24.7,-77.7667,
21,Talara,PE,71.6,broken clouds,-4.5772,-81.2719,
23,Altamira,BR,72.48,overcast clouds,-3.2033,-52.2064,
25,Puerto Ayora,EC,73.54,few clouds,-0.7393,-90.3518,
27,Cidreira,BR,68.22,clear sky,-30.1811,-50.2056,
31,Tuy Hoa,VN,77.32,broken clouds,13.0833,109.3,
36,Cienfuegos,CU,71.74,few clouds,22.1461,-80.4356,
39,Arraial Do Cabo,BR,75.36,clear sky,-22.9661,-42.0278,
44,Piranhas,BR,72.77,overcast clouds,-16.4269,-51.8222,
45,Esmeraldas,BR,70.11,light rain,-19.7625,-44.3139,
46,Manggar,ID,82.94,overcast clouds,-2.8833,108.2667,
51,Kupang,ID,85.44,scattered clouds,-10.1667,123.5833,
52,Rikitea,PF,79.02,few clouds,-23.1203,-134.9692,
53,Hithadhoo,MV,82.51,scattered clouds,-0.6,73.0833,
55,Atuona,PF,78.8,few clouds,-9.8,-139.0333,
56,Ocos,GT,77.0,clear sky,14.5094,-92.1933,
57,Hilo,US,73.26,overcast clouds,19.7297,-155.09,
58,Ahipara,NZ,75.11,overcast clouds,-35.1667,173.1667,
60,Vaini,TO,75.36,light intensity shower rain,-21.2,-175.2,
62,Airai,TL,75.2,scattered clouds,-8.9266,125.4092,
64,Busselton,AU,69.08,broken clouds,-33.65,115.3333,
66,Kahului,US,78.82,scattered clouds,20.8947,-156.47,
68,Koungou,YT,80.31,light rain,-12.7336,45.2042,
70,Kapaa,US,78.78,few clouds,22.0752,-159.319,
71,Port Elizabeth,ZA,70.92,scattered clouds,-33.918,25.5701,
74,Faanui,PF,81.01,light rain,-16.4833,-151.75,
75,Hobart,AU,82.02,few clouds,-42.8794,147.3294,
76,Tondano,ID,80.69,overcast clouds,1.3038,124.9112,
79,New Norfolk,AU,80.65,clear sky,-42.7826,147.0587,
80,Buin,CL,75.74,clear sky,-33.7333,-70.75,
86,Gizo,SB,85.51,light rain,-8.103,156.8419,
87,Hambantota,LK,79.14,scattered clouds,6.1241,81.1185,
88,Kontagora,NG,69.84,clear sky,10.3999,5.4695,
90,Mahebourg,MU,79.25,overcast clouds,-20.4081,57.7,
97,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,
100,Caravelas,BR,75.47,scattered clouds,-17.7125,-39.2481,
101,Lorengau,PG,84.29,overcast clouds,-2.0226,147.2712,
107,Mahibadhoo,MV,81.09,scattered clouds,3.7833,72.9667,
110,Bousse,BF,71.17,clear sky,12.6606,-1.8922,
111,Grand Gaube,MU,79.38,overcast clouds,-20.0064,57.6608,
112,Salvador,SV,73.06,broken clouds,13.8333,-88.9167,
113,Mandera,KE,74.97,overcast clouds,3.9366,41.867,
115,Sao Filipe,CV,71.98,clear sky,14.8961,-24.4956,
127,Mana,GF,77.36,overcast clouds,5.6592,-53.7767,
130,Ares,BR,80.69,clear sky,-6.1944,-35.1603,
133,Tsaratanana,MG,72.75,broken clouds,-16.7833,47.65,
135,Matara,LK,84.04,overcast clouds,5.9485,80.5353,
138,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,
143,San Cristobal,VE,69.98,broken clouds,7.7669,-72.225,
144,Namibe,AO,72.28,overcast clouds,-15.1961,12.1522,
146,Chavakkad,IN,79.97,scattered clouds,10.5333,76.05,
147,Butaritari,KI,81.66,moderate rain,3.0707,172.7902,
149,Luanda,AO,72.93,overcast clouds,-8.8368,13.2343,
150,Dubbo,AU,78.93,scattered clouds,-32.25,148.6167,
158,Gambela,ET,72.7,overcast clouds,8.25,34.5833,
160,Turan,VN,78.78,scattered clouds,16.0678,108.2208,
165,Thinadhoo,MV,82.74,overcast clouds,0.5333,72.9333,
167,Biloli,IN,68.14,broken clouds,18.7667,77.7333,
170,Port Alfred,ZA,73.33,broken clouds,-33.5906,26.891,
171,Sao Felix Do Xingu,BR,71.17,broken clouds,-6.6447,-51.995,
173,Vaitape,PF,81.05,overcast clouds,-16.5167,-151.75,
174,Port Lincoln,AU,79.45,clear sky,-34.7333,135.8667,
176,East London,ZA,70.74,clear sky,-33.0153,27.9116,
178,Saint-Joseph,RE,77.36,overcast clouds,-21.3667,55.6167,
179,Codrington,AU,80.31,clear sky,-38.2667,141.9667,
182,Vao,NC,81.16,scattered clouds,-22.6667,167.4833,
183,Puerto Carreno,CO,81.95,broken clouds,6.189,-67.4859,
185,Kavieng,PG,83.73,broken clouds,-2.5744,150.7967,
187,Cruzeiro,BR,73.58,overcast clouds,-22.5761,-44.9628,
189,Geraldton,AU,77.41,scattered clouds,-28.7667,114.6,
191,Puerto Escondido,MX,79.63,clear sky,15.85,-97.0667,
194,Nicoya,CR,78.35,clear sky,10.1483,-85.452,
195,Saint-Philippe,RE,78.35,overcast clouds,-21.3585,55.7679,
196,Tauranga,NZ,70.14,overcast clouds,-37.6861,176.1667,
201,Sibolga,ID,85.75,broken clouds,1.7427,98.7792,
204,Meulaboh,ID,79.63,overcast clouds,4.1363,96.1285,
207,Panama City,PA,80.06,clear sky,8.9936,-79.5197,
213,Kyabe,TD,69.03,clear sky,9.4515,18.9449,
214,Manaus,BR,77.5,scattered clouds,-3.1019,-60.025,
216,Alofi,NU,82.29,light intensity drizzle,-19.0595,-169.9187,
221,Pitimbu,BR,79.39,clear sky,-7.4706,-34.8086,
222,Noumea,NC,78.78,broken clouds,-22.2763,166.4572,
225,Georgetown,MY,84.88,few clouds,5.4112,100.3354,
226,Ternate,ID,82.71,overcast clouds,0.8,127.4,
229,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,
232,Dwarka,IN,69.73,clear sky,22.2394,68.9678,
233,Mancio Lima,BR,73.38,overcast clouds,-7.6142,-72.8958,
234,Narrabri,AU,80.69,clear sky,-30.3167,149.7833,
235,Kaeo,NZ,77.32,overcast clouds,-35.1,173.7833,
236,Alto Paraguai,BR,73.85,overcast clouds,-14.5136,-56.4825,
237,Itarema,BR,77.88,clear sky,-2.9248,-39.9167,
238,Aitape,PG,83.66,overcast clouds,-3.1374,142.3475,
242,Utinga,BR,81.0,scattered clouds,-5.8172,-35.3954,
245,Te Anau,NZ,70.7,scattered clouds,-45.4167,167.7167,
247,Porto Nacional,BR,75.2,overcast clouds,-10.7081,-48.4172,
253,Eravur,LK,79.75,broken clouds,7.7733,81.6095,
254,Salalah,OM,73.49,clear sky,17.0151,54.0924,
256,Nabire,ID,83.01,overcast clouds,-3.3667,135.4833,
258,Sao Jose Da Coroa Grande,BR,79.56,broken clouds,-8.8978,-35.1478,
261,Mangaluru,IN,77.86,few clouds,12.8667,74.8833,
263,Coahuayana,MX,69.33,broken clouds,18.7333,-103.6833,
264,Dao,PH,84.47,broken clouds,11.3937,122.6856,
265,Bhadrak,IN,70.77,broken clouds,21.0633,86.5054,
271,Mogadishu,SO,76.87,scattered clouds,2.0371,45.3438,
274,Muisne,EC,75.76,light rain,0.6,-80.0333,
276,Amarante,BR,73.78,broken clouds,-6.2411,-42.8547,
277,Dhidhdhoo,MV,80.53,few clouds,6.8833,73.1,
282,Bubaque,GW,76.21,few clouds,11.2833,-15.8333,
285,Kawalu,ID,78.37,overcast clouds,-7.3817,108.2082,
291,Sao Joao Da Barra,BR,75.63,clear sky,-21.6403,-41.0511,
292,Bhawanipatna,IN,74.05,broken clouds,19.9,83.1667,
295,Mananjary,MG,76.91,overcast clouds,-21.2167,48.3333,
303,Axim,GH,77.72,overcast clouds,4.8699,-2.2405,
304,Quatre Cocos,MU,79.09,overcast clouds,-20.2078,57.7625,
305,Moerai,PF,80.02,light rain,-22.4333,-151.3333,
311,Puerto Colombia,CO,78.89,clear sky,10.9878,-74.9547,
314,Ahuimanu,US,80.31,few clouds,21.4447,-157.8378,
322,Harper,LR,78.75,overcast clouds,4.375,-7.7169,
323,Kendari,ID,85.08,heavy intensity rain,-3.945,122.4989,
330,Dingle,PH,84.38,scattered clouds,10.9995,122.6711,
332,Chateaubelair,VC,77.61,overcast clouds,13.2833,-61.25,
333,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,
