City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Salinopolis,BR,-0.6136,-47.3561,77.67,88,100,7.16,overcast clouds
1,Canutama,BR,-6.5339,-64.3831,72.79,99,100,2.21,overcast clouds
2,Keffi,NG,8.8486,7.8736,71.6,22,0,3.8,clear sky
3,Camana,PE,-16.6228,-72.7111,70.7,83,99,4.29,overcast clouds
4,Grindavik,IS,63.8424,-22.4338,32.9,100,100,55.23,heavy snow
5,Hami,CN,42.8,93.45,27.0,33,67,7.27,broken clouds
6,Avarua,CK,-21.2078,-159.775,80.65,78,20,9.22,few clouds
7,Bilibino,RU,68.0546,166.4372,-10.97,78,18,4.03,few clouds
8,Punta Arenas,CL,-53.15,-70.9167,53.71,82,75,10.36,broken clouds
9,Asau,RO,46.4333,26.4,33.76,74,100,5.95,overcast clouds
10,Ushuaia,AR,-54.8,-68.3,60.46,67,40,14.97,scattered clouds
11,Sinnamary,GF,5.3833,-52.95,76.87,89,100,7.92,overcast clouds
12,Lebu,CL,-37.6167,-73.65,59.22,92,3,15.41,clear sky
13,Esperance,AU,-33.8667,121.9,76.84,49,14,26.35,few clouds
14,Kathmandu,NP,27.7167,85.3167,48.42,87,40,0.0,mist
15,Bengkulu,ID,-3.8004,102.2655,81.64,70,99,10.8,moderate rain
16,Andros Town,BS,24.7,-77.7667,71.56,67,3,12.48,clear sky
17,Tura,IN,25.5198,90.2201,64.18,50,1,2.91,clear sky
18,Namie,JP,37.4833,141.0,40.96,51,77,4.34,broken clouds
19,Yumen,CN,40.2833,97.2,15.58,63,100,10.69,overcast clouds
20,Mataura,NZ,-46.1927,168.8643,60.48,34,8,2.75,clear sky
21,Talara,PE,-4.5772,-81.2719,71.6,83,62,11.27,broken clouds
22,Ilulissat,GL,69.2167,-51.1,5.02,72,20,10.36,few clouds
23,Altamira,BR,-3.2033,-52.2064,72.48,99,100,2.42,overcast clouds
24,Cape Town,ZA,-33.9258,18.4232,65.26,86,75,1.01,broken clouds
25,Puerto Ayora,EC,-0.7393,-90.3518,73.54,93,20,1.99,few clouds
26,Hermanus,ZA,-34.4187,19.2345,66.79,92,66,4.25,broken clouds
27,Cidreira,BR,-30.1811,-50.2056,68.22,74,8,7.81,clear sky
28,Yellowknife,CA,62.456,-114.3525,-3.59,91,20,3.44,few clouds
29,Brewster,US,41.3973,-73.6171,28.78,87,75,0.0,broken clouds
30,Ancud,CL,-41.8697,-73.8203,54.93,89,5,2.86,clear sky
31,Tuy Hoa,VN,13.0833,109.3,77.32,82,75,6.78,broken clouds
32,Bethel,US,41.3712,-73.414,28.53,83,75,0.0,broken clouds
33,Saskylakh,RU,71.9167,114.0833,-27.18,100,93,4.09,overcast clouds
34,Terrace Bay,CA,48.7834,-87.1,8.22,91,97,16.06,overcast clouds
35,Kieta,PG,-6.2167,155.6333,86.86,68,100,11.68,overcast clouds
36,Cienfuegos,CU,22.1461,-80.4356,71.74,83,14,6.91,few clouds
37,Suruc,TR,36.9761,38.425,37.6,66,0,4.56,clear sky
38,Nome,US,64.5011,-165.4064,-7.53,59,0,13.8,clear sky
39,Arraial Do Cabo,BR,-22.9661,-42.0278,75.36,92,0,18.75,clear sky
40,Qaanaaq,GL,77.484,-69.3632,-11.67,59,29,7.25,scattered clouds
41,Castro,BR,-24.7911,-50.0119,61.56,84,2,2.1,clear sky
